date,assets,portfolio_total_capital
2024-04-09,['1821'],94150.9709309644
2024-04-10,['1821'],94390.9709309644
2024-04-11,"['1821', '2382', '9868']",94299.55570070192
2024-04-12,"['1821', '2382']",93204.55570070192
2024-04-13,"['1821', '2382']",93204.55570070192
2024-04-14,"['1821', '2382']",93204.55570070192
2024-04-15,[],92184.55570070191
2024-04-16,[],92184.55570070191
2024-04-17,[],92184.55570070191
2024-04-18,[],92184.55570070191
2024-04-19,[],92184.55570070191
2024-04-20,[],92184.55570070191
2024-04-21,[],92184.55570070191
2024-04-22,[],92184.55570070191
2024-04-23,[],92184.55570070191
2024-04-24,"['1299', '1876', '6618']",92074.84480228857
2024-04-25,"['1299', '1876', '6618', '0270']",92144.27077748628
2024-04-26,"['1299', '1876', '6618', '0270', '9868']",94853.71887593131
2024-04-27,"['1299', '1876', '6618', '0270', '9868']",94853.71887593131
2024-04-28,"['1299', '1876', '6618', '0270', '9868']",94853.71887593131
2024-04-29,"['1299', '1876', '6618', '0270', '9868']",98019.71887593131
2024-04-30,"['1299', '1876', '6618', '0270', '9868']",98129.21887593131
2024-05-01,"['1299', '1876', '6618', '0270', '9868']",98129.21887593131
2024-05-02,"['1299', '1876', '6618', '0270', '9868']",103626.21887593131
2024-05-03,"['1299', '1876', '6618', '0270', '9868']",105858.71887593131
2024-05-04,"['1299', '1876', '6618', '0270', '9868']",105858.71887593131
2024-05-05,"['1299', '1876', '6618', '0270', '9868']",105858.71887593131
2024-05-06,"['1299', '1876', '6618', '0270', '9868']",105017.71887593131
2024-05-07,"['1299', '1876', '6618', '0270', '9868']",104303.71887593131
2024-05-08,"['1299', '6618', '0270', '9868', '2382']",100987.57015817944
2024-05-09,"['1299', '6618', '0270', '2382', '2269']",103387.82573786308
2024-05-10,"['1299', '0270', '2382', '2269']",104270.32573786308
2024-05-11,"['1299', '0270', '2382', '2269']",104270.32573786308
2024-05-12,"['1299', '0270', '2382', '2269']",104270.32573786308
2024-05-13,"['1299', '0270']",103950.32573786308
2024-05-14,"['1299', '0270']",103450.32573786308
2024-05-15,"['1299', '0270']",103450.32573786308
2024-05-16,"['1299', '0270']",104070.32573786308
2024-05-17,"['1299', '0270']",104770.32573786308
2024-05-18,"['1299', '0270']",104770.32573786308
2024-05-19,"['1299', '0270']",104770.32573786308
2024-05-20,"['1299', '0270']",104420.32573786308
2024-05-21,[],103440.32573786308
2024-05-22,[],103440.32573786308
2024-05-23,[],103440.32573786308
2024-05-24,[],103440.32573786308
2024-05-25,[],103440.32573786308
2024-05-26,[],103440.32573786308
2024-05-27,[],103440.32573786308
2024-05-28,[],103440.32573786308
2024-05-29,[],103440.32573786308
2024-05-30,[],103440.32573786308
2024-05-31,[],103440.32573786308
2024-06-01,[],103440.32573786308
2024-06-02,[],103440.32573786308
2024-06-03,[],103440.32573786308
2024-06-04,[],103440.32573786308
2024-06-05,[],103440.32573786308
2024-06-06,[],103440.32573786308
2024-06-07,[],103440.32573786308
2024-06-08,[],103440.32573786308
2024-06-09,[],103440.32573786308
2024-06-10,[],103440.32573786308
2024-06-11,[],103440.32573786308
2024-06-12,['2269'],103404.14230756793
2024-06-13,[],103144.14230756793
2024-06-14,['2269'],103108.0773506449
2024-06-15,['2269'],103108.0773506449
